"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;20;31;0;0;1
1;20;32;1;1;21
1;20;33;0;3;1
1;20;34;1;1;0
1;20;35;0;3;2
1;20;36;0;0;0
1;20;37;2;4;2
1;20;38;0;1;1
1;20;39;0;3;20
1;20;40;6;14;1
1;20;41;0;1;1
1;20;42;0;2;1
1;20;43;0;1;0
1;20;44;0;2;1
1;20;45;0;3;3
1;20;46;0;0;0
1;20;47;2;0;3
1;20;48;1;1;2
1;20;49;0;0;1
1;20;50;2;3;2
1;21;1;2;3;11
1;21;2;1;10;0
1;21;3;1;6;5
1;21;4;0;1;3
1;21;5;2;12;7
1;21;6;0;6;0
1;21;7;0;20;2
1;21;8;0;1;2
1;21;9;2;2;12
1;21;10;0;0;18
1;21;11;0;5;1
1;21;12;0;1;1
1;21;13;0;2;4
1;21;14;1;1;0
1;21;15;0;4;0
1;21;16;0;6;0
1;21;17;1;11;12
1;21;18;0;0;5
1;21;19;0;1;1
1;21;20;0;2;0
1;21;21;0;0;1
1;21;22;0;3;9
1;21;23;1;7;1
1;21;24;0;2;0
1;21;25;1;0;3
1;21;26;0;0;6
1;21;27;0;1;1
1;21;28;0;0;6
1;21;29;0;3;5
1;21;30;0;0;6
1;21;31;0;1;0
1;21;32;1;0;0
1;21;33;0;0;1
1;21;34;0;2;4
1;21;35;0;6;1
1;21;36;1;0;0
1;21;37;2;3;0
1;21;38;1;5;1
1;21;39;0;1;0
1;21;40;0;2;3
1;21;41;0;0;1
1;21;42;0;1;0
1;21;43;0;1;1
1;21;44;0;1;0
1;21;45;0;1;0
1;21;46;0;0;1
1;21;47;0;6;1
1;21;48;0;0;1
1;21;49;0;1;1
1;21;50;1;0;1
1;22;1;1;1;23
1;22;2;2;31;4
1;22;3;3;2;9
1;22;4;1;8;1
1;22;5;0;22;4
1;22;6;1;0;1
1;22;7;0;0;4
1;22;8;0;0;4
1;22;9;1;4;3
1;22;10;1;4;2
1;22;11;2;0;0
1;22;12;3;7;4
1;22;13;3;4;13
