simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
13,11,1,,5,0.02404609
13,12,0,,5,0.01547635
13,12,1,,5,0.02404609
13,13,0,,5,0.01547635
13,13,1,,5,0.02404609
13,14,0,,5,0.01547635
13,14,1,,5,0.02404609
13,15,0,,5,0.01547635
13,15,1,,5,0.02404609
13,16,0,,5,0.01547635
13,16,1,,5,0.02404609
13,17,0,,5,0.01547635
13,17,1,,5,0.02404609
13,18,0,,5,0.01547635
13,18,1,,5,0.02404609
13,19,0,,5,0.01547635
13,19,1,,5,0.02404609
13,20,0,,5,0.01547635
13,20,1,,5,0.02404609
13,21,0,,5,0.01547635
13,21,1,,5,0.02404609
13,22,0,,5,0.01547635
13,22,1,,5,0.02404609
13,23,0,,5,0.01547635
13,23,1,,5,0.02404609
13,24,0,,5,0.01547635
13,24,1,,5,0.02404609
13,25,0,,5,0.01547635
13,25,1,,5,0.02404609
13,26,0,,5,0.01547635
13,26,1,,5,0.02404609
13,27,0,,5,0.01547635
13,27,1,,5,0.02404609
13,28,0,,5,0.01547635
13,28,1,,5,0.02404609
13,29,0,,5,0.01547635
13,29,1,,5,0.02404609
14,0,0,,3,0.0117761
14,0,1,,5,0.01639586
14,1,0,,3,0.00878186
14,1,1,,5,0.01978676
14,2,0,,5,0.01548939
14,2,1,,5,0.01978676
14,3,0,,3,0.01254219
14,3,1,,5,0.01978676
14,4,0,,5,0.00682483
14,4,1,,5,0.01978676
14,5,0,,5,0.01250707
14,5,1,,4,0.00500565
14,6,0,,5,0.01395884
14,6,1,,5,0.01978676
14,7,0,,5,0.01395884
14,7,1,,5,0.01978676
14,8,0,,5,0.01552625
14,8,1,,5,0.01978676
14,9,0,,5,0.01101658
14,9,1,,5,0.01978676
14,10,0,,5,0.01597356
14,10,1,,5,0.01978676
14,11,0,,5,0.01597356
14,11,1,,5,0.01978676
14,12,0,,5,0.01597356
14,12,1,,5,0.01978676
14,13,0,,5,0.01597356
14,13,1,,5,0.01978676
14,14,0,,5,0.01597356
14,14,1,,5,0.01978676
14,15,0,,5,0.01597356
14,15,1,,5,0.01978676
14,16,0,,5,0.01597356
14,16,1,,5,0.01978676
14,17,0,,5,0.01597356
14,17,1,,5,0.01978676
14,18,0,,5,0.01597356
14,18,1,,5,0.01978676
14,19,0,,5,0.01597356
14,19,1,,5,0.01978676
14,20,0,,5,0.01597356
14,20,1,,5,0.01978676
14,21,0,,5,0.01597356
14,21,1,,5,0.01978676
14,22,0,,5,0.01597356
14,22,1,,5,0.01978676
14,23,0,,5,0.01597356
14,23,1,,5,0.01978676
14,24,0,,5,0.01597356
14,24,1,,5,0.01978676
14,25,0,,5,0.01597356
14,25,1,,5,0.01978676
14,26,0,,5,0.01597356
14,26,1,,5,0.01978676
14,27,0,,5,0.01597356
14,27,1,,5,0.01978676
14,28,0,,5,0.01597356
14,28,1,,5,0.01978676
14,29,0,,5,0.01597356
14,29,1,,5,0.01978676
15,0,0,,3,0.00395024
15,0,1,,3,0.0172049
15,1,0,,5,0.01222475
15,1,1,,3,0.01099357
15,2,0,,5,0.01836476
15,2,1,,3,0.00637392
15,3,0,,5,0.01516865
15,3,1,,4,0.01553119
15,4,0,,5,0.01516865
15,4,1,,4,0.01083169
15,5,0,,4,0.01272869
15,5,1,,5,0.01856049
15,6,0,,4,0.01053805
15,6,1,,5,0.02230742
15,7,0,,5,0.01085672
15,7,1,,5,0.0327114
