"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R-P","noRouteCompare",1.5,0.75,1,10,6,1,0.424296197980654,0.272727272727273,0.589285714285714
"R-P","noRouteCompare",1.5,0.75,1,10,7,1,0.0529201095237967,0.140625,0.3
"R-P","noRouteCompare",1.5,0.75,1,10,8,1,0,0.326530612244898,0.8
"R-P","noRouteCompare",1.5,0.75,1,10,9,1,0,0.133333333333333,0.277777777777778
"R-P","noRouteCompare",1.5,0.75,1,10,10,1,0,0.128,0.350877192982456
"R-P","noRouteCompare",1.5,0.75,1,10,11,1,0.5,0.37037037037037,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,10,12,1,0,0.285714285714286,0.571428571428571
"R-P","noRouteCompare",1.5,0.75,1,10,13,1,0,0.330578512396694,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,10,14,1,0.333333333333333,0.330578512396694,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,10,15,1,0,0.28125,0.6
"R-P","noRouteCompare",1.5,0.75,1,10,16,1,0.296081910965865,0.25,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,10,17,1,0.123099596383347,0.226757369614512,0.625
"R-P","noRouteCompare",1.5,0.75,1,10,18,1,0.0336037340137496,0.153846153846154,0.307692307692308
"R-P","noRouteCompare",1.5,0.75,1,10,19,1,0.333333333333333,0.330578512396694,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,10,20,1,0.666666666666666,0.347107438016529,0.875
